Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2000,68,2,842,H0,270900,7,77401648,66553436,12500000,0
2000,68,1,899,H0,270900,7,137,118,126,0
2000,68,2,899,H0,270900,7,94275,81062,22792,0
2000,72,1,0,H0,270900,7,234592,201713,71115,0
2000,72,2,0,H0,270900,7,22005,18921,21382,0
2000,72,1,710,H0,270900,7,234589,201710,71080,0
2000,72,2,710,H0,270900,7,21192,18222,21124,0
2000,72,1,899,H0,270900,7,3,3,35,0
2000,72,2,899,H0,270900,7,813,699,258,0
2000,76,1,0,H0,270900,8,15123678076,15123678076,3189857960,0
2000,76,2,0,H0,270900,8,964851641,964851641,158584973,0
2000,76,1,32,H0,270900,8,4652738110,4652738110,1011917899,0
2000,76,2,32,H0,270900,8,58947244,58947244,8830391,0
2000,76,1,36,H0,270900,8,78039772,78039772,19500004,0
2000,76,1,68,H0,270900,8,67750125,67750125,15835487,0
2000,76,2,156,H0,270900,8,227867216,227867216,36124318,0
2000,76,1,170,H0,270900,8,1061524552,1061524552,253937691,0
2000,76,1,178,H0,270900,8,253272955,253272955,58410842,0
2000,76,2,192,H0,270900,8,61,61,51,0
2000,76,1,251,H0,270900,8,2,2,24,0
2000,76,2,251,H0,270900,8,73791897,73791897,10652352,0
2000,76,1,368,H0,270900,8,1146073098,1146073098,219167578,0
2000,76,2,530,H0,270900,8,73850168,73850168,13566058,0
2000,76,1,566,H0,270900,8,2531662535,2531662535,577802362,0
2000,76,2,662,H0,270900,8,283604599,283604599,49494656,0
2000,76,1,682,H0,270900,8,2794943581,2794943581,543116040,0
2000,76,2,724,H0,270900,8,29606453,29606453,4343389,0
2000,76,1,784,H0,270900,8,162004513,162004513,36542087,0
2000,76,1,842,H0,270900,8,2,2,373,0
2000,76,2,842,H0,270900,8,217184003,217184003,35573758,0
2000,76,1,862,H0,270900,8,2204712275,2204712275,419595601,0
2000,76,1,887,H0,270900,8,170956556,170956556,34031972,0
2000,112,1,0,H0,270900,8,11924685532,11924685532,1627825200,0
2000,112,2,0,H0,270900,8,350625942,350625942,61698000,0
2000,112,2,616,H0,270900,8,350000000,350000000,61597600,0
2000,112,1,643,H0,270900,8,11924685532,11924685532,1627825200,0
2000,112,2,643,H0,270900,8,625942,625942,100400,0
2000,116,1,0,H0,270900,8,610000,610000,164059,0
2000,116,1,704,H0,270900,8,610000,610000,164059,0
2000,120,1,0,H0,270900,8,1354423471,1354423471,304820316,0
